,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
02:02:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:04:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:06:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:08:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:10:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:12:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:14:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:16:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:18:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:20:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:22:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:24:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:26:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:28:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:30:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:32:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:34:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:36:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:38:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:40:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:42:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:44:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:46:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:48:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:50:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:52:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:54:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:56:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
02:58:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:00:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:08:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:10:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,0,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:12:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:14:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:16:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:18:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:20:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:22:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:24:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:26:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,12,32,38,21,30,3,15,1,1,0
03:28:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:30:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:32:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:34:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:36:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:38:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:40:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:42:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:44:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:46:08,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:48:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:50:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:52:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:54:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:56:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
03:58:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
04:00:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
04:02:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,29,30,1,0,1,18,0,7,30,1,12,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
04:04:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,28,30,1,0,1,18,0,7,30,1,11,20,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,30,3,15,1,1,0
04:06:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,28,30,1,0,1,18,0,7,30,1,11,19,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,28,3,15,1,1,0
04:08:09,1,1,0,30,40,35,30,10,19,34,28,3,14,30,26,0,30,30,1,0,25,0,0,28,30,1,0,1,18,0,7,30,1,11,19,20,0,1,1,2,1,0,0,4,39,4,0,0,10,0,1,34,30,20,3,0,5,0,0,12,3,11,17,0,24,2,8,40,38,40,1,2,2,30,15,1,0,20,29,30,11,21,12,38,38,30,40,38,2,19,13,32,38,21,28,3,15,1,1,0
