,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
01:48:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
01:50:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
01:52:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
01:54:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
01:56:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
01:58:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:00:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:02:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:04:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:06:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:08:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:10:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:12:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:14:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:16:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:18:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:20:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:22:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:24:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:26:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:28:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:30:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:32:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:34:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:36:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:38:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:40:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:42:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:44:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:46:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:48:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:50:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:52:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:54:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:56:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
02:58:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:00:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:02:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:04:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:06:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:08:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:10:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:12:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:14:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:16:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:18:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:20:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:22:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:24:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:26:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:28:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:30:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:32:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:34:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:36:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:38:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:40:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:42:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:44:08,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
03:46:09,14,0,2,21,20,35,30,11,15,38,37,12,21,30,2,5,17,30,16,5,22,5,0,30,30,0,6,25,10,5,2,30,3,4,9,14,20,26,10,6,3,4,0,0,14,34,7,14,6,2,9,5,40,30,14,0,3,4,11,10,5,4,8,11,1,31,6,17,14,21,40,0,15,8,20,38,7,0,12,12,26,8,10,12,23,27,24,11,18,3,3,28,17,40,22,1,14,8,2,1,13
